"FilerEIN","FilerName1","TitleTxt","PersonNm","salutation","suffix","first_name","last_name","PRE","POST","FormYr","N","complete.panel","TOTCOMP","gender","TYPE","BASELINE.MALE","BASELINE.FEMALE","GEN.CHANGE","pre","post","male","GENDER.PRE","GENDER.POST","pre.male","post.male","NTEE1","HEALTH","EDU","HOSP","UNIV","TOTEMPLOYEE","TOTVOLUNTEERS","TOTNETASSETSBEGYEAR","TOTNETASSETSENDYEAR","TOTLIABNABEGYEAR","TOTLIABNAENDYEAR","CONTRIBPRIOR","CONTRIBCURRENT","GROSSRECEIPTS","TOTFUNDEXP","PSRPRIOR","PSRCURRENT","TOTALREVCURRENT","TOTALREVPRIOR","INVINCCURRENT","INVINCPRIOR","SALARIESPRIOR","SALARIESCURRENT","TOTALEXPPRIOR","TOTALEXPCURRENT","REVLESSEXPPRIOR","REVLESSEXPCURRENT","TOTALASSETSBEGYEAR","TOTALASSETSENDYEAR","TOTALLIABBEGYEAR","TOTALLIABENDYEAR","NETASSETSBEGYEAR","NETASSETSENDYEAR","CASHBEGYEAR","CASHENDYEAR","SAVINVBEGYEAR","SAVINVENDYEAR","TOTALPROGSERVEXP","Trustee","TRUST","AvgHrs","RptCmpOrg","RptCmpRltd","OtherComp","totalComp","FISYR","inf.factor"
"010211484","Bangor Theological Seminary","President","Kent J Ulery","","","KENT","ULERY","PRE","",2010,1,TRUE,159053,"M","M-M",1,0,0,1,0,1,"M","M",1,0,"B",0,1,0,0,"36","0","14301592","15694325","14823105","15806170","811739","421592","2622462","111178","731018","699956","1642225","1962292","520677","419535","1217335","1279588","2231538","2236982","-269246","-594757","14823105","15806170","521513","111845","14301592","15694325","84465","189350","252177","225182","1433719",0,0,37.5,85490,0,54645,140135,"2010",1.135
"010211484","Bangor Theological Seminary","President","Robert Grove-Markwood","","","ROBERT","GROVE-MARKWOOD","","POST",2012,1,TRUE,148868,"M","M-M",1,0,0,0,1,1,"M","M",0,1,"B",0,1,0,0,"40","17","14297395","13404472","14404839","14340111","216060","93783","4254615","92496","599311","459245","1236390","1393588","683362","578217","1287954","1741780","2284299","2920876","-890711","-1684486","14404839","14340111","107444","935639","14297395","13404472","98564","53052","213652","1047519","1141048",0,0,40,99000,0,37953,136953,"2012",1.087
"010211530","MAINE HISTORICAL SOCIETY","EXECUTIVE DIRECTOR","RICHARD D'ABATE","","","RICHARD","DABATE","PRE","",2010,1,TRUE,104882,"M","M-M",1,0,0,1,0,1,"M","M",1,0,"A",0,0,0,0,"42","160","13095117","12521250","14648553","13611252","2069610","1304071","3732441","203758","266460","216329","1996021","2712690","420165","317583","1011722","1095365","2224727","2210880","487963","-214859","14648553","13611252","1553436","1090002","13095117","12521250","736801","722282","0","0","1128229",0,0,35,92407,0,0,92407,"2010",1.135
"010211530","MAINE HISTORICAL SOCIETY","EXECUTIVE DIRECTOR","STEPHEN BROMAGE","","","STEPHEN","BROMAGE","","POST",2012,1,TRUE,86334,"M","M-M",1,0,0,0,1,1,"M","M",0,1,"A",0,0,0,0,"39","130","12851514","13019444","13651004","13872020","1245489","1251813","9209234","255685","223447","201054","2743040","1854301","1254360","331340","1057534","993425","2159912","2081803","-305611","661237","13651004","13872020","799490","852576","12851514","13019444","375941","549258","0","0","903581",0,0,35,79424,0,0,79424,"2012",1.087
"010211567","YOUNG MEN'S CHRISTIAN ASSOCIATION OF","EXECUTIVE DIRECTOR","BRIAN DUBOIS","","","BRIAN","DUBOIS","PRE","",2013,1,TRUE,97955,"M","M-M",1,0,0,1,0,1,"M","M",1,0,"P",0,0,0,0,"147","320","5679641","6210917","6253479","6784755","797440","723789","2538546","0","1331974","1216556","2496422","2260670","552260","111036","1663206","1589121","2256048","2122011","4622","374411","6253479","6784755","573838","573838","5679641","6210917","601478","599076","17031","18084","1923470",0,0,40,80714,0,11176,91890,"2013",1.066
"010211567","YOUNG MEN'S CHRISTIAN ASSOCIATION OF","CHEIF EXECUTIVE OFFICER","STEVEN WALLACE","","","STEVEN","WALLACE","","POST",2015,1,TRUE,89282,"M","M-M",1,0,0,0,1,1,"M","M",0,1,"P",0,0,0,0,"179","300","6479289","6129699","7053127","6129699","777352","740349","3736396","0","1197789","1359120","2438927","2222034","286473","206340","1465706","1711998","2047508","2472090","174526","-33163","7053127","6129699","573838","0","6479289","6129699","566182","388557","62344","40160","2216924",0,0,40,86263,0,0,86263,"2015",1.035
"010211807","Sweetser","President & CEO","Mr Carlton D Pendleton","MR","","CARLTON","PENDLETON","PRE","",2013,1,TRUE,349747,"M","M-F",1,0,1,1,0,1,"M","F",1,0,"P",0,0,0,0,"906","400","33722260","37787491","52302883","57254604","2186616","3258743","66394859","351151","48428598","48415464","53752062","52351623","2736959","2396235","30352339","30902346","51451201","52083742","900422","1668320","52302883","57254604","18580623","19467113","33722260","37787491","5002","342273","1141761","2148104","45930533",0,0,40,281484,0,46609,328093,"2013",1.066
"010211807","Sweetser","President & CEO","Ms Debra Taylor","MS","","DEBRA","TAYLOR","","POST",2015,1,TRUE,215894,"F","M-F",1,0,1,0,1,0,"M","F",0,0,"P",0,0,0,0,"955","104","38272562","34894783","53316317","46898972","4627645","3005991","67617684","300448","52345376","51038810","54446795","59116107","1455900","3139140","33773222","32748572","56388038","55646645","2728069","-1199850","53316317","46898972","15043755","12004189","38272562","34894783","28397","232019","2990784","1918118","49113688",0,0,40,197250,0,11343,208593,"2015",1.035
"010212435","St Joseph Hospital","President/CEO","Mary Prybylo","","","MARY","PRYBYLO","PRE","",2012,1,TRUE,360717,"F","F-F",0,1,0,1,0,0,"F","F",0,0,"E",1,0,1,0,"1065","112","20947671","25337656","55078752","73778520","25408","28561","114590638","0","96211654","101019340","102389064","96937863","1341163","652196","41892683","46028196","88255476","95989742","8682387","6399322","55078752","73778520","34131081","48440864","20947671","25337656","1861","10501469","124950","733448","76775656",0,0,40,320700,0,11146,331846,"2012",1.087
"010212435","St Joseph Hospital","President/CEO","Mary Prybylo Ex Officio","","","MARY","EXOFFICIO","","POST",2014,1,TRUE,383964,"F","F-F",0,1,0,0,1,0,"F","F",0,0,"E",1,0,1,0,"1114","114","32211095","29557413","76591969","74781127","121194","19457","131641150","0","111639312","122709539","124406224","112455118","1677228","694612","48569315","49440066","103374658","112689858","9080460","11716366","76591969","74781127","44380874","45223714","32211095","29557413","852723","1365636","1157144","752614","91157216",0,0,40,337013,0,28319,365332,"2014",1.051
"010215213","BOWDOIN COLLEGE","PRESIDENT","BARRY MILLS","","","BARRY","MILLS","PRE","",2014,1,TRUE,566908,"M","M-F",1,0,1,1,0,1,"M","F",1,0,"B",0,1,0,1,"3015","2089","1402502000","1563723000","1735882000","1897816000","44907000","61200000","591186000","6571000","109598000","110873000","289199000","235343000","116265000","80833000","87713000","93882000","181714000","189412000","53629000","99787000","1735882000","1897816000","333380000","334093000","1402502000","1563723000","0","0","60571000","47280000","161495000",0,0,40,441524,0,97875,539399,"2014",1.051
"010215213","BOWDOIN COLLEGE","PRESIDENT","CLAYTON ROSE","","","ROSE","CLAYTON","","POST",2016,1,TRUE,560961,"F","M-F",1,0,1,0,1,0,"M","F",0,0,"B",0,1,0,1,"3050","2206","1494492000","1628859000","1831737000","2036597000","32713000","40302000","556018000","6354000","114296000","117729000","232189000","225173000","73349000","77279000","97343000","98677000","195978000","200578000","29195000","31611000","1831737000","2036597000","337245000","407738000","1494492000","1628859000","0","0","57994000","63582000","169760000",0,0,40,468248,0,74267,542515,"2016",1.034
"010215911","Mid Coast Hospital","CEO (10/1/10 - 6/30/11)","Herbert Paris","","","HERBERT","PARIS","PRE","",2010,1,TRUE,572168,"M","M-F",1,0,1,1,0,1,"M","F",1,0,"E",1,0,1,0,"1141","500","84513037","90885063","134698531","139681202","1750288","1757517","134234149","0","108209426","119216128","122900842","110673680","1907781","688605","56030771","59523676","107511114","114484248","3162566","8416594","134698531","139681202","50185494","48796139","84513037","90885063","7260630","4715779","14591507","14996767","96218142",0,0,15.2,0,405609,98504,504113,"2010",1.135
"010215911","Mid Coast Hospital","President/CEO","Lois N Skillings","","","LOIS","SKILLINGS","","POST",2012,1,TRUE,462479,"F","M-F",1,0,1,0,1,0,"M","F",0,0,"E",1,0,1,0,"1285","500","97142220","104315442","147788861","160736113","1612976","2256197","140295912","0","123422722","132145006","136494576","126160636","2078490","1097814","66643916","70398524","123082104","130628191","3078532","5866385","147788861","160736113","50646641","56420671","97142220","104315442","3161304","5581029","13507857","25668602","112593633",0,0,30.5,0,354884,70580,425464,"2012",1.087
"010217639","WAYFINDER SCHOOLS","CEO","DOROTHY FOOTE","","","DOROTHY","FOOTE","PRE","",2015,1,TRUE,124175,"F","F-M",0,1,1,1,0,0,"F","M",0,0,"P",0,0,0,0,"52","80","8933377","7643339","10759014","7779171","1645986","604097","1064060","151395","211958","190890","1024368","3663451","163037","1746611","1367683","1525843","2026891","2199501","1636560","-1175133","10759014","7779171","1825637","135832","8933377","7643339","227045","94134","0","0","1285836",0,0,40,112788,0,7188,119976,"2015",1.035
"010217639","WAYFINDER SCHOOLS","EXECUTIVE DIRECTOR","PAUL ANDREWS","","","PAUL","ANDREWS","","POST",2017,1,TRUE,105681,"M","F-M",0,1,1,0,1,1,"F","M",0,1,"P",0,0,0,0,"51","85","6987098","6064838","7103261","6289034","581946","359613","2965944","166357","126457","90957","1005144","784024","509528","53733","1364364","1422129","1995898","1989050","-1211874","-983906","7103261","6289034","116163","224196","6987098","6064838","31401","276638","0","0","1060231",0,0,40,98415,0,5092,103507,"2017",1.021
