"pnhwht12","pnhblk12","phisp12","pntv12","pfb12","polang12","phs12","pcol12","punemp12","pflabf12","pprof12","pmanuf12","pvet12","psemp12","hinc12","incpc12","ppov12","pown12","pvac12","pmulti12","mrent12","mhmval12","p30old12","p10yrs12","p18und12","p60up12","p75up12","pmar12","pwds12","pfhh12"
89.47000122,2.599999905,1.970000029,0.209999993,10.47999954,10.23999977,14.39000034,61.52999878,5.340000153,64.12999725,61.56999969,9.880000114,8.869999886,9.609999657,88017,40514,0.959999979,95.22000122,1.809999943,6.96999979,1250,198400,52.97999954,37.18000031,23.97999954,26.51000023,9.600000381,68.20999908,12.65999985,2.50999999
81.41999817,3.829999924,11.10999966,1.029999971,2.890000105,7.460000038,24.37000084,37.65000153,5.239999771,58.65000153,45.68000031,8.56000042,15.67000008,8.399999619,70000,38272,1.039999962,72.41000366,5.369999886,22.40999985,723,131700,63.61000061,55.68000031,23.95000076,29.37000084,6.920000076,59.99000168,19.20000076,15.13000011
44.22999954,21.85000038,14.26000023,0,19.5,31.95000076,19.20000076,55.93999863,8.300000191,70.69999695,55.38000107,3.640000105,6.949999809,15.76000023,49826,39770,2.890000105,11.89999962,7.059999943,94.04000092,1080,400000,96.37999725,70.84999847,12.14000034,17.97999954,5.460000038,28.25,22.17000008,8.369999886
93.41000366,0.25,1.429999948,4.599999905,1.350000024,3.369999886,31,28.12999916,5.070000172,65.37000275,29.39999962,13.67000008,16.25,7.400000095,44328,24271,10.64000034,54.31000137,10.60999966,35.09000015,646,140500,73.51000214,64.47000122,22.94000053,21.59000015,7.800000191,38.49000168,28.42000008,26.17000008
97.36000061,1.5,0.5,0,1.289999962,0.879999995,63.16999817,18.42000008,4.070000172,57.15000153,24.98999977,19.20999908,9.510000229,4.420000076,45426,25603,14.01000023,74.11000061,2.00999999,9.529999733,525,115200,78.98999786,56.52999878,17.37999916,25.03000069,8.699999809,47.88000107,24.40999985,9.569999695
100,0,0,0,0.899999976,2.75,41.88999939,27.69000053,5.769999981,74.45999908,38.34000015,22.89999962,7.880000114,13.18999958,96011,37648,1.409999967,99.12999725,1.590000033,0,0,245800,35.38000107,49.27999878,25.5,14.85000038,2,79.94999695,6.119999886,2.140000105
81.97000122,0.980000019,13.44999981,1.830000043,9.130000114,10.86999989,38.93999863,34.27000046,6.190000057,55.65000153,41.47999954,14.31999969,10.27000046,24.64999962,86102,31679,4,92.33999634,10.56000042,0,2001,189700,18.36000061,73.62000275,31.14999962,14.5,3.99000001,77.88999939,6.079999924,0
84.19999695,8,3.529999971,0.300000012,5.630000114,6.369999886,33.68000031,30.59000015,7.820000172,64.02999878,38.84000015,8.529999733,11.64999962,14.43000031,77538,26869,3.359999895,93.44999695,4.889999866,0,547,195900,17.15999985,84.91999817,31.30999947,14.14000034,1.730000019,69.25,12.82999992,2.849999905
93.58999634,2.470000029,1.340000033,0,3.480000019,7.340000153,12.59000015,73.38999939,3,56.91999817,68.62000275,12.19999981,9.130000114,16.19000053,125417,88632,5.429999828,89.63999939,4.400000095,31.37999916,1071,377800,85.12000275,60.77000046,18.09000015,28.87999916,9.479999542,50.11000061,21.54000092,7.630000114
50.00999832,0.270000011,40.40999985,5.369999886,5.289999962,24.61000061,45.79999924,14.94999981,8.31000042,59.91999817,24.40999985,14.63000011,12.44999981,7.340000153,42418,20600,20.67000008,75.16000366,5.599999905,10.13000011,645,132200,17.06999969,55.81000137,27.60000038,15.56999969,2.309999943,40.81999969,27.07999992,19.72999954
98.87000275,0.150000006,0,0,0.330000013,2.49000001,69.13999939,9.329999924,11.52000046,50.5,19.62000084,15.64999962,13.31999969,7.53000021,37482,19247,11.90999985,81.48999786,16.07999992,6.320000172,319,69600,85.12999725,35.86000061,17.81999969,25.90999985,9.630000114,55.06999969,21.27000046,6.050000191
99.88999939,0.109999999,0,0,0.49000001,0.709999979,70.26999664,9.359999657,6.5,43.15999985,22.10000038,5.380000114,12.77999973,9.899999619,33492,19035,24.37999916,85.76999664,11.80000019,1.639999986,393,75000,51.02999878,49.40999985,28.29999924,20.04999924,4.610000134,63.59999847,20.90999985,11.26000023
32.36000061,2.420000076,17.82999992,0.140000001,20.60000038,48.29000092,8.850000381,81.33999634,15.69999981,38.25,51.36000061,1.970000029,1.49000001,0.670000017,43542,8594,29.84000015,12.42000008,1.679999948,86.94999695,984,432900,71.62000275,91.83999634,8.25,1.309999943,0.330000013,9.859999657,3.599999905,9.75
89.80999756,0.059999999,7.900000095,0,4.079999924,10.10000038,37.09000015,27.34000015,4.130000114,62.00999832,39.20000076,22.32999992,14.77000046,6.519999981,60420,30650,7.070000172,80.94000244,2.940000057,11.42000008,624,140500,71.30999756,56.54999924,24.59000015,28.44000053,9.06000042,63.58000183,16.70999908,5.710000038
98.41000366,0.899999976,0.419999987,0,0.689999998,2.529999971,44.34000015,21.93000031,10.56000042,63.77999878,34.90999985,18.37000084,11.75,6.21999979,63412,32737,6.710000038,82.69999695,10.07999992,0,616,196700,31.27000046,54.18999863,22.86000061,26.14999962,7.059999943,60.58000183,21.62999916,6.889999866
53.33000183,6.010000229,12.06000042,0,22.18000031,28.31999969,17.95999908,58.63999939,9.090000153,52.90000153,62.29999924,22.29000092,6.46999979,8.279999733,107377,41679,9.699999809,79.04000092,2.539999962,18.47999954,1276,689100,96.05000305,54.13999939,29.37000084,14.56999969,3.609999895,59.56000137,18.43000031,6.070000172
14.09000015,19.11000061,13.44999981,0.310000002,36.00999832,54.36999893,27.35000038,49.13000107,10.72000027,69.52999878,45.63999939,5.699999809,3.119999886,10.59000015,96823,37944,1.75,65.91000366,6.539999962,42.95999908,1908,503200,37.27000046,71.45999908,27.54999924,10.97999954,3.00999999,48.34999847,13.40999985,7.710000038
91.55999756,0.159999996,2.160000086,2.710000038,2.75,3.589999914,29.82999992,33.59000015,5.639999866,68.62999725,33.72999954,9.18999958,12.43000031,12.47000027,61947,29068,7.360000134,92.62999725,26.40999985,0.959999979,525,191900,42.36999893,51.99000168,23.42000008,21.62999916,4.170000076,64.11000061,13.78999996,5.329999924
96.47000122,0.090000004,0.800000012,0.340000004,0.920000017,4.800000191,39.5,29.84000015,4.559999943,65.70999908,32.86000061,10.42000008,13.90999985,16.13999939,67957,32178,4.329999924,88.83000183,6.389999866,7.190000057,436,220600,60.27999878,44.38000107,27.13999939,20.11000061,5.21999979,68.51000214,13.13000011,9
79.68000031,5.96999979,6.739999771,0,2.029999971,4.949999809,20.44000053,42.81999969,3.720000029,71.04000092,42.24000168,2.789999962,8.649999619,10.10000038,50291,29555,7.639999866,55.22000122,3.75999999,41.11999893,680,146500,56.52000046,67.45999908,19.31999969,13.64000034,6.929999828,36.68999863,17.79999924,12.60000038
48.90000153,17.29000092,30.29999924,0,15.19999981,29.20999908,51.68000031,17.35000038,10.44999981,57.66999817,28.85000038,14.77000046,11.56000042,4.539999962,44639,24759,8.270000458,66.54000092,4.130000114,43.13000107,875,132200,63.34000015,61.20999908,20.28000069,24.87000084,9.670000076,41.74000168,27.77000046,14.35000038
